ID	OBJECTID	GoRI_TestFlag	GoRI_subset	F_Name	F_Type	Street	Town	OwnerTyp	P_Ground	B_Field	S_Field	F_Field	M_Field	B_Court	T_Court	V_Court	Track	SkatPark	IH_Rink	SH_Rink	Golf	Fishing	Boating	Hunting	Trails	Beach	Pool	ActiveRec	RestRoom	W_Path	B_Path	StateGrant	LWCFGrant	Lon	Lat	Conservation.Area	Description	Are.there.additional.names.for.this.recreational.area	Should.Be.Included.in.GoRI.	Not.Included..Why.	Allow.Dogs	Restrooms.Available.	Americans.with.Disabilities.Act..ADA..Parking	Stroller.Friendly	Picnic.Area	Acres.Miles	Contact.Info	Contact.Info.Seasonal	Link.for.More.Info
503	503	NA	N	Melville School	School	Bradford	Portsmouth	SCH	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	Y	-71.79138305	41.89685848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
504	504	1	Y	Beach Pond State Park	Fishing / Boating	Ten Rod	Exeter	STA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	N	Y	-71.47154914	41.95917658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
505	505	1	Y	North Kingstown Town Boat Launch	Local Park	Flat Fish	North Kingstown	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	N	N	-71.54845051	41.91467047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
506	506	NA	N	Bush Hill Marsh	Conservation Area	Newtown	North Kingstown	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	Y	-71.54783038	41.73713484	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
507	507	NA	N	Wickford Elementary School	School	Phillips	North Kingstown	MUN	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.44993011	41.44841611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
508	508	NA	N	Wickford Middle School	School	Tower Hill	North Kingstown	SCH	0	2	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.48794217	42.00532228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
509	509	1	Y	North Kingstown Town Beach	Local Park	Beach	North Kingstown	MUN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	N	N	-71.49574713	42.00200809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
510	510	1	Y	Fogland Beach	Local Park	Three Rod	Tiverton	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	N	N	-71.19737003	41.55335611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
511	511	NA	N	Redwood Farms	Local Park	Redwood	Portsmouth	MUN	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.18638297	41.62925465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
512	512	1	Y	North Kingstown High School	School	Fairway	North Kingstown	SCH	0	2	3	1	3	0	6	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.27776092	41.59072857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
513	513	1	Y	Arcadia Management Area	Management Area	Ten Rod	Exeter	STA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	N	N	-71.23482487	41.57693547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
514	514	NA	N	Portsmouth Middle School	School	Jepson	Portsmouth	SCH	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.27156825	41.5840276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
515	515	1	Y	Sandy Point Beach	Local Park	Sandy Point	Portsmouth	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	Y	Y	-71.25372434	41.70888864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
516	516	1	Y	John H Chafee Rome Point Preserve	State Park	Boston Neck Road	North Kingstown	STA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	N	N	-71.43224028	41.92974988	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
517	517	1	Y	May C. Donovan Marsh	Conservation Area	Francis	Little Compton	STA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.42845791	41.92677475	May C. Donovan Marsh			No	Primarily a waterfowl hunting area.  The only access is from the water						NA		NA	
518	518	NA	N	Hamilton School	School	Boston Neck	North Kingstown	SCH	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.41774877	41.90876809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
519	519	NA	N	Pennfield School	School	Main	Portsmouth	SCH	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.40453505	41.90167976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
520	520	1	Y	Shady Lea	Conservation Area	Colonel Rodman	North Kingstown	STA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	N	N	-71.51606104	41.89399436	Shady Lea Grove	"Located on Silver Spring lake at the junction of Routes 1 & 4, Shady Lea is possibly the most popular place in RI on the opening day of trout season each Spring."		Yes		Yes	No	No	No	Yes	NA	RI Parks & Recreation (401) 667-6200 	NA	
521	521	NA	N	Oliphant School	School	Oliphant	Middletown	SCH	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.40091105	41.88861258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
522	522	1	Y	Silver Spring Lake Fishing Area	Fishing / Boating	Silver Spring	North Kingstown	STA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	N	N	-71.38453125	41.88868246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
523	523	1	Y	Jamestown Shores Beach	Local Park	Seaside	Jamestown	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	N	N	-71.50958565	41.88407273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
524	524	1	N	Gould Island	Management Area	Shore	Jamestown	STA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	N	N	-71.40334571	41.87969664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
525	525	NA	N	Kennedy School	School	Lake Erie	Middletown	SCH	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.50165929	41.87887119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
526	526	NA	N	Middletown Middle School	School	Turner	Middletown	SCH	0	2	1	1	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.60377837	41.87687266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
527	527	1	Y	Rockville Management	Management Area	Canonchet	Hopkinton	STA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	N	N	-71.40009413	41.87782517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
528	528	NA	N	Linden School	School	Linden	Middletown	SCH	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Y	N	-71.54843114	41.87600694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
529	529	NA	N	Wilbour & McMahon School	Local Park	Meeting House	Little Compton	MUN	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Y	N	-71.38701827	41.87669966	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
530	530	NA	N	Sullivan School	School	Dexter	Newport	SCH	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.39251251	41.87513764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
531	531	NA	N	Eldridge Playground	Local Park	Miner	North Kingstown	MUN	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.39860939	41.87416644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
532	532	1	N	Bay Is. Park-Dutch Island	Management Area	Fort Getty	Jamestown	STA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	N	N	-71.38524858	41.87229164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
533	533	NA	N	Richmond Elementary School	School	Kingstown	Richmond	SCH	1	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.39183233	41.86948988	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
534	534	NA	N	Coggeshall School	School	Evarts	Newport	SCH	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.39422205	41.86953855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
535	535	NA	Y	Van Zandt Pier	Local Park	Van Zandt	Newport	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Y	N	-71.49775314	41.86827217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
536	536	NA	N	Abbie Perry Park	Local Park	Sand Turn	South Kingstown	MUN	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.36744643	41.8673236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
537	537	NA	N	Pettaquamscutt Park	Local Park	Woodsia	Narragansett	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	N	N	-71.44906701	41.8618832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
538	538	NA	N	Jamestown Library Playground	Local Park	Douglas	Jamestown	MUN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.43247577	41.85990704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
539	539	NA	N	Aquidneck School	School	Reservoir	Middletown	SCH	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.40298774	41.85880098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
540	540	1	Y	Hannah Robinson Tower	State Park	Bridgetown	South Kingstown	STA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.35774456	41.85417626	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
541	541	1	Y	Little Compton Town Beach	Local Park	Shore	Little Compton	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N	N	-71.42041171	41.85085045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
542	542	NA	N	Cranston / Calvert School	School	Cranston	Newport	SCH	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.42098093	41.8495148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
543	543	NA	N	Admiral Luce Circle	Local Park	Kay	Newport	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.42949905	41.84790582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
544	544	NA	N	Sachuest Point Campground	Local Park	Sachuest Point	Middletown	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	Y	-71.44428081	41.85287283	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
545	545	1	Y	Sachuest Pt. National Refuge	Conservation Area	Sachuest Point	Middletown	FED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	N	N	-71.64837259	41.83829857	Sachuest Pt. National Refuge	"From the mid-1600’s to the early 1900’s, Sachuest Point was used for farming and sheep grazing. During World War II, the U.S. Navy used this site for a rifle range and communications center. In 1970, a 70 acre donation from the Audubon Society of Rhode Island led to the establishment of Sachuest Point National Wildlife Refuge. Today, with the land transfers from the Navy, the Refuge totals 242 acres that provide an important stopover and wintering area for migratory birds.  Scenic trail along the Atlantic Ocean and Sakonnet River and a popular spot for bird watching."		Yes		No	Yes	Yes	Unsure	Unsure	NA	US Fish & Wildlife Service (401)364-912	NA	http://www.fws.gov/refuge/Sachuest_Point/
546	546	1	Y	Carolina Management  Area	Management Area	Meadowbrook	Richmond	STA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	N	N	-71.4044631	41.84172041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
547	547	1	Y	Second Beach	Local Park	Sachuest Point	Middletown	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	N	Y	-71.41949519	41.84134085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
